code,lat,lon,name
KJER,42.6719567,-114.393057,Jerome County Airport
K3S9,44.9039399,-121.2591401,Condon State Airport
KARR,41.7681269,-88.4686538,Aurora Municipal Airport
KT30,28.8225131,-99.1118768,McKinley Field Airport
KT82,30.24566,-98.9130359,Gillespie County Airport
K3T5,29.9095344,-96.951168,Fayette Regional Air Center Airport
K49R,29.7462713,-99.7634299,Real County Airport
KECU,29.9488289,-100.1764971,Edwards County Airport
9TE2,30.5632746,-100.4546353,JL Bar Ranch Airport
KDZB,30.5265102,-98.3606452,Horseshoe Bay Resort Airport
KPWG,31.4797974,-97.314901,Mc Gregor Executive Airport
KJPX,40.9610122,-72.2505011,East Hampton Town Airport
KOKZ,32.9635928,-82.8374663,Kaolin Field Airport
0E0,34.9854011,-106.0122085,Moriarty Municipal Airport
BVU,35.9482607,-114.8577562,Boulder City Municipal Airport
KBVU,35.9482607,-114.8577562,Boulder City Municipal Airport
KMYF,32.8127497,-117.1439916,Montgomery-Gibbs Executive Airport
KP33,32.2436485,-109.8967342,Cochise County Airport
KCGE,38.542733,-76.0384821,Cambridge-Dorchester Regional Airport
KBNL,33.2601416,-81.3833659,Barnwell Regional Airport
KFIN,29.4723809,-81.2108492,Flagler Executive Airport
KVSF,43.343118,-72.5252527,Hartness State Airport
KRCR,33.7771801,-84.5242532,Fulton County Airport
KLCI,43.5716857,-71.4259836,Laconia Municipal Airport
KLHQ,39.7542678,-87.1450971,Fairfield County Airport
KIUA,42.9069409,-77.3233071,Canandaigua Airport
KDMW,39.6056126,-77.0054791,Carroll County Regional Airport
KAMW,41.9987151,-93.6248926,Ames Municipal Airport
KASG,36.1739849,-94.1248244,Springdale Municipal Airport
KSPK,40.1428476,-111.6684525,Spanish Fork Municipal Airport/Woodhouse Field
KVDF,28.0114484,-82.3464193,Tampa Executive Airport
KU96,37.4370096,-110.5662399,Cal Black Memorial Airport
KTTA,35.5786317,-79.1094891,Raleigh Executive Jetport
FA37,26.1162888,-81.7053521,Wing South Airpark
KGOK,35.8502655,-97.4216019,Guthrie–Edmond Regional Airport
KCNI,34.3089226,-84.4309805,Cherokee County Regional Airport
KFQD,35.4301341,-81.939443,Rutherford County Airport/Marchman Field
KBLM,40.1803204,-74.124321,Monmouth Executive Airport
1A5,35.2207848,-83.4198876,Macon County Airport
KMYJ,39.1581931,-91.8247658,Mexico Memorial Airport
KFHB,30.616949,-81.463533,Fernandina Beach Municipal Airport
KOZW,42.6308264,-83.9820249,Livingston County Spencer J. Hardy Airport
KMQJ,39.8434579,-85.9044243,Indianapolis Regional Airport
KCPP,33.5956038,-83.1419511,Greene County Regional Airport
KPTV,36.0302597,-119.0613062,Porterville Municipal Airport
KAAO,37.747501,-97.2236873,Colonel James Jabara Airport
KPPO,41.572777,-86.7367493,LaPorte Municipal Airport
KRBW,32.9216487,-80.6422228,Lowcountry Regional Airport
KBML,44.5774421,-71.1822296,Berlin Regional Airport
KTX0,28.7400717,-96.4681894,Shank N Bank Airport
KS03,42.1883583,-122.6592193,Ashland Municipal Sumner Parker Field
