code,lat,lon,name
KJER,42.6719567,-114.393057,Jerome County Airport
K3S9,44.9039399,-121.2591401,Condon State Airport
KARR,41.7681269,-88.4686538,Aurora Municipal Airport
KT30,28.8225131,-99.1118768,McKinley Field Airport
KT82,30.24566,-98.9130359,Gillespie County Airport
K3T5,29.9095344,-96.951168,Fayette Regional Air Center Airport
K49R,29.7462713,-99.7634299,Real County Airport
KECU,29.9488289,-100.1764971,Edwards County Airport
9TE2,30.5632746,-100.4546353,JL Bar Ranch Airport
KDZB,30.5265102,-98.3606452,Horseshoe Bay Resort Airport
